都道府県,種類,1_観光,2_観光,3_観光,4_観光,1_ビジネス,2_ビジネス,3_ビジネス,4_ビジネス
01 北海道,①,7851,12749,17961,6629,1542,2140,2416,1700
01 北海道,②,129564,119621,144120,124197,56427,57297,51958,52780
02 青森県,①,2476,2727,3797,3184,572,797,785,630
02 青森県,②,58524,58868,53721,62977,79207,62669,65255,70092
03 岩手県,①,817,1258,1563,1095,773,901,1068,785
03 岩手県,②,54455,59599,59583,59652,55954,63080,55676,56495
04 宮城県,①,6250,6587,6223,5375,1289,1496,1694,1144
04 宮城県,②,49511,59763,70039,67580,55954,63080,55676,56495
05 秋田県,①,2567,3931,3149,2577,380,542,648,324
05 秋田県,②,47464,39453,44149,42803,55954,63080,55676,55014
06 山形県,①,1685,3643,3672,3066,533,694,845,541
06 山形県,②,57195,73348,56036,57671,55954,63080,55676,58404
07 福島県,①,2732,2552,4826,3017,1152,1180,1280,917
07 福島県,②,49399,63658,64924,60416,55954,63080,53484,52793
08 茨城県,①,7711,9214,7107,9880,1330,1396,1366,1331
08 茨城県,②,42932,40394,37856,37391,54950,56119,48613,52780
09 栃木県,①,8318,9762,9172,8456,1104,1185,1242,1579
09 栃木県,②,66066,54335,62817,60838,47991,47991,46958,46975
10 群馬県,①,3472,3402,4155,3128,931,950,1053,1322
10 群馬県,②,44615,66475,57748,91225,47991,49155,46957,46975
11 埼玉県,①,24984,28637,28848,26431,2240,2423,2464,2689
11 埼玉県,②,41917,41165,41976,41246,47991,49155,46957,45143
12 千葉県,①,34783,29503,33774,22007,1938,2508,2051,2686
12 千葉県,②,66876,54904,68067,62147,47991,49155,46957,46975
13 東京都,①,121577,119596,118708,112494,12163,13490,14040,11241
13 東京都,②,83744,95875,87512,94025,91687,103744,103195,101701
14 神奈川県,①,22732,11502,10158,10038,2490,2690,2766,3580
14 神奈川県,②,54189,61291,63062,76213,47991,49155,46957,46975
15 新潟県,①,2016,2851,3990,2613,942,977,1025,1045
15 新潟県,②,57927,58688,45692,49858,56427,56119,51958,52780
16 富山県,①,1776,4004,4555,2958,708,551,719,804
16 富山県,②,37481,42825,44687,50985,37003,33036,56615,14118
18 福井県,①,1258,2519,2645,1961,395,392,485,396
18 福井県,②,34349,39092,33993,41037,33843,34015,34573,33924
19 山梨県,①,4842,8633,8732,5831,408,446,530,636
19 山梨県,②,39032,39413,50382,41692,31091,32335,31409,31478
20 長野県,①,5884,6323,8172,4803,978,1122,1294,1110
20 長野県,②,70622,80305,84922,65843,60788,59094,53410,58972
21 岐阜県,①,10457,11642,12070,8149,612,555,629,530
21 岐阜県,②,54052,65776,50365,55889,50743,50835,50122,49421
23 愛知県,①,33692,26685,22444,21600,2940,2930,3031,3055
23 愛知県,②,28540,28343,35185,33856,33843,27325,32127,34495
24 三重県,①,12098,10681,12477,10737,851,931,969,858
24 三重県,②,52808,53672,59005,60334,50743,50835,50122,49421
25 滋賀県,①,2789,4696,5256,4656,672,663,640,686
25 滋賀県,②,33623,26859,34296,38442,34800,36469,34777,37416
26 京都府,①,15610,13564,7231,5863,8832,1229,1243,1385
26 京都府,②,41913,62108,64097,75828,33148,36469,34778,45528
29 奈良県,①,3546,4648,4055,3292,239,297,272,252
29 奈良県,②,47078,56023,58861,57011,51327,52401,50501,52754
30 和歌山県,①,1646,2441,2508,1855,476,468,505,513
30 和歌山県,②,30500,25684,38500,39062,31325,32562,30726,33258
31 鳥取県,①,1441,2111,1919,1799,308,359,335,344
31 鳥取県,②,54003,39246,37755,43898,89979,56119,51958,52780
32 島根県,①,2586,2229,2214,2411,496,538,523,507
32 島根県,②,56982,50237,47403,54845,89568,80746,54180,50423
33 岡山県,①,1566,1405,1969,1852,929,900,938,901
33 岡山県,②,41343,47587,49667,62562,43208,66627,49589,65043
34 広島県,①,3059,4822,3936,4202,1291,1503,1359,1445
34 広島県,②,76037,55151,37424,40174,28276,45131,51965,49909
35 山口県,①,3794,4229,4317,4097,387,585,624,552
35 山口県,②,52157,56477,54119,56579,50117,36165,53378,50423
36 徳島県,①,2413,2771,2811,1874,256,323,221,335
36 徳島県,②,49993,47088,36559,47998,54569,52765,51958,52780
37 香川県,①,3277,2957,3435,3221,453,499,311,402
37 香川県,②,43130,43860,55094,54710,54569,52765,51958,52780
38 愛媛県,①,2953,3470,3432,3011,409,463,444,463
38 愛媛県,②,47399,47975,48188,48445,54569,52765,51958,52780
40 福岡県,①,7740,4520,13968,5809,2293,2693,2655,2862
40 福岡県,②,75037,86893,85995,76256,61595,57624,54519,56730
41 佐賀県,①,3612,4282,4162,3692,394,560,425,636
41 佐賀県,②,60937,62738,63876,53374,61595,57624,54519,56730
43 熊本県,①,6086,7674,7333,6399,1023,1039,739,704
43 熊本県,②,71765,60837,48160,49908,61595,57624,54519,56730
44 大分県,①,4009,3631,4405,3141,368,516,518,704
44 大分県,②,33048,30086,31208,36232,41969,38170,38959,43586
45 宮崎県,①,2910,3477,3156,3134,496,558,592,700
45 宮崎県,②,51365,51749,54145,50227,61595,57624,54519,56730
