都道府県,種類,1_観光,2_観光,3_観光,4_観光,1_ビジネス,2_ビジネス,3_ビジネス,4_ビジネス
01 北海道,①,7862,12981,17421,6992,1346,1764,2475,1137
01 北海道,②,125729,116131,143402,119390,53188,52089,55364,56825
02 青森県,①,2247,3154,3665,2813,619,684,827,724
02 青森県,②,60226,69772,58581,60838,50636,53226,53317,62527
03 岩手県,①,2159,2217,2251,1881,548,763,922,775
03 岩手県,②,55255,56842,62286,55085,50636,53226,53317,61946
04 宮城県,①,5118,5876,6802,5708,1260,1302,1020,1488
04 宮城県,②,76758,52743,59717,62423,51499,51268,52956,64978
05 秋田県,①,1961,3148,3418,2723,443,416,572,450
05 秋田県,②,44301,48233,45129,49351,50752,53226,53317,61946
06 山形県,①,3142,4667,6292,3575,446,567,911,606
06 山形県,②,52435,67001,57657,63817,50636,53226,53317,86155
07 福島県,①,3037,5374,2326,2347,1097,1153,569,602
07 福島県,②,59476,62133,59733,60796,51175,53221,60046,61946
08 茨城県,①,7271,8923,8162,10553,1527,1881,1532,1290
08 茨城県,②,42000,55865,42525,39294,45833,52089,52673,55537
09 栃木県,①,7152,7217,7966,8418,1165,1274,1379,1059
09 栃木県,②,57493,58717,68250,56321,50124,49010,49044,51053
10 群馬県,①,2727,4395,3908,3989,1107,1125,1241,955
10 群馬県,②,41052,41310,40485,44951,50124,49010,49044,51053
11 埼玉県,①,25036,27952,27477,26858,1846,1928,2344,1801
11 埼玉県,②,37273,36371,40525,38113,50124,49010,49044,51053
12 千葉県,①,30378,20802,20701,20894,1866,2335,2084,1877
12 千葉県,②,68408,97741,72365,62214,50124,49010,51230,51053
13 東京都,①,122187,115953,115213,112983,11271,12786,13449,10457
13 東京都,②,85099,95546,88368,91247,92204,101981,103374,97411
14 神奈川県,①,19841,14592,14763,8800,2837,2878,3165,2608
14 神奈川県,②,46514,55843,60309,44417,50124,50504,49044,51053
15 新潟県,①,1935,2783,4147,3215,783,1106,1318,974
15 新潟県,②,52348,55056,58161,60277,46071,52087,66149,49031
16 富山県,①,1093,1423,3030,2436,309,372,388,381
16 富山県,②,73630,42998,63330,52767,53639,52179,54782,50342
18 福井県,①,1800,2778,2855,1334,469,461,507,468
18 福井県,②,32049,35475,30195,43309,26384,28433,34486,33399
19 山梨県,①,4593,5262,6118,5073,548,580,764,481
19 山梨県,②,62820,62422,65669,52900,50124,49010,48179,51053
20 長野県,①,4579,6475,8517,5789,910,1098,1320,1083
20 長野県,②,72822,81671,103042,71313,51472,52179,54782,50342
21 岐阜県,①,6000,6958,7885,7508,608,686,641,628
21 岐阜県,②,54392,46073,63009,60560,41180,44128,50600,50622
22 静岡県,①,17229,14899,17654,16421,2800,2976,2749,2506
22 静岡県,②,81567,33817,54304,44626,41180,42773,50600,50622
23 愛知県,①,28138,20473,24114,21355,3210,3591,2745,3628
23 愛知県,②,30461,38319,47688,38298,26381,41469,31848,35370
24 三重県,①,10396,9809,11213,10365,1380,1339,1415,1439
24 三重県,②,62113,61789,58293,73532,41180,44128,50600,50622
25 滋賀県,①,4955,3227,3278,2883,504,596,564,590
25 滋賀県,②,36713,33471,36067,42978,47086,48177,50538,52860
26 京都府,①,10572,13105,7843,7182,932,997,1146,1130
26 京都府,②,57634,57312,74457,69668,44669,48177,50538,52860
28 兵庫県,①,14901,14896,17167,17595,1386,1455,1476,1566
28 兵庫県,②,74753,67683,88043,88172,47086,48177,50538,52860
29 奈良県,①,4090,4798,3574,3648,167,212,220,227
29 奈良県,②,50099,64695,51566,55739,47086,49000,50558,52565
30 和歌山県,①,1648,2402,2515,2563,324,340,358,370
30 和歌山県,②,52736,46267,50473,53575,47083,48174,50536,52859
31 鳥取県,①,1348,1296,1721,1172,255,350,363,299
31 鳥取県,②,56703,36819,47639,55740,57277,56722,55364,86814
32 島根県,①,1891,2220,1678,1683,402,489,509,501
32 島根県,②,67395,57893,50630,51522,49825,70329,46574,85566
33 岡山県,①,3429,3554,3561,3405,719,914,793,834
33 岡山県,②,59625,53146,42636,47167,69930,48322,54071,50791
34 広島県,①,3439,3688,4323,3501,1165,1344,1540,1385
34 広島県,②,42981,47162,38276,65924,49825,70329,82563,55317
35 山口県,①,4593,4051,4558,3893,543,320,448,400
35 山口県,②,44717,47947,58312,57483,49825,70329,82563,53666
36 徳島県,①,1177,1290,1890,1550,198,220,295,321
36 徳島県,②,49672,51127,42486,42826,34277,36394,38105,40763
37 香川県,①,3534,3149,3044,3844,460,495,534,570
37 香川県,②,54306,48912,54541,62252,49073,52089,54219,57986
38 愛媛県,①,2861,3482,3688,3214,390,2636,434,390
38 愛媛県,②,48628,47551,47848,47973,49903,52089,54219,57986
39 高知県,①,638,992,1096,772,308,340,347,312
39 高知県,②,65775,60473,57769,58836,49073,52089,54219,52263
40 福岡県,①,27732,24267,22592,18177,2242,2406,3099,2670
40 福岡県,②,59710,112275,101279,84726,51189,56086,59189,57870
41 佐賀県,①,3979,3856,3721,4052,542,671,571,504
41 佐賀県,②,76208,70057,92258,55743,51189,56086,59189,56698
43 熊本県,①,2100,2025,2627,3161,775,743,887,863
43 熊本県,②,81367,54012,53409,37177,51189,56086,59189,57870
44 大分県,①,4302,4044,4212,3987,616,535,609,561
44 大分県,②,38811,29586,37226,32514,38180,34612,39766,42407
45 宮崎県,①,3376,2868,3390,3226,542,543,612,558
45 宮崎県,②,54970,51033,51456,44527,51189,56086,59189,57870
46 鹿児島県,①,3171,2940,3708,3282,889,819,847,746
46 鹿児島県,②,58131,72125,62199,61082,105244,81807,75204,49481
