都道府県,目的,1_客数,2_客数,3_客数,4_客数,地点数
01 北海道,自然,1727,3648,6560,2694,108
01 北海道,歴史・文化,4223,6428,9805,3839,147
01 北海道,温泉・健康,3713,3849,5017,3408,142
01 北海道,スポーツ・レク,5049,4598,6646,2948,259
01 北海道,都市型観光,4191,6351,7244,5126,77
01 北海道,その他,4320,6683,9098,4438,109
01 北海道,イベント,7715,5660,11296,457,77
02 青森県,自然,144,893,1721,662,41
02 青森県,歴史・文化,564,1870,1851,1062,58
02 青森県,温泉・健康,725,783,887,803,45
02 青森県,スポーツ・レク,631,1168,1666,628,69
02 青森県,都市型観光,2243,3542,4605,3468,50
02 青森県,その他,708,1292,1550,1121,25
02 青森県,イベント,877,3792,9488,740,33
03 岩手県,自然,454,1204,1541,866,37
03 岩手県,歴史・文化,664,918,1018,669,62
03 岩手県,温泉・健康,1336,1329,1408,1457,76
03 岩手県,スポーツ・レク,750,593,706,438,55
03 岩手県,都市型観光,539,838,950,729,27
03 岩手県,その他,457,874,999,579,23
03 岩手県,イベント,658,1499,2944,1039,34
04 宮城県,自然,530,996,1350,1090,36
04 宮城県,歴史・文化,3421,2754,2533,2056,80
04 宮城県,温泉・健康,1390,1391,1423,1664,36
04 宮城県,スポーツ・レク,907,1899,1919,1386,65
04 宮城県,都市型観光,1679,2090,2142,1934,53
04 宮城県,その他,1608,2065,2239,2099,31
04 宮城県,イベント,775,2861,5790,4501,40
05 秋田県,自然,147,926,1387,914,30
05 秋田県,歴史・文化,275,954,961,609,52
05 秋田県,温泉・健康,1068,1170,1295,1170,63
05 秋田県,スポーツ・レク,622,951,1427,594,68
05 秋田県,都市型観光,238,386,492,381,20
05 秋田県,その他,815,1528,1794,1321,30
05 秋田県,イベント,900,2543,5300,1427,36
06 山形県,自然,258,1177,1198,572,38
06 山形県,歴史・文化,1332,2487,2668,1849,75
06 山形県,温泉・健康,2117,1966,2444,2219,47
06 山形県,スポーツ・レク,996,1762,1734,703,67
06 山形県,都市型観光,640,1076,1327,954,30
06 山形県,その他,1350,2974,3435,2578,33
06 山形県,イベント,978,2977,4310,742,26
07 福島県,自然,413,1723,1821,2220,46
07 福島県,歴史・文化,1635,3572,2587,2131,77
07 福島県,温泉・健康,1549,1467,1576,1574,46
